status,package,source_folder,display_name,batch,source_path,processed_path,backup_path,replacement_format
done,actors-artists,artists,ai weiwei,batch_0001,actors-artists/artists/ai weiwei,photoroom_processed/actors-artists/artists/ai weiwei.png,photoroom_original_backups/batch_0001/actors-artists/artists/ai weiwei,.png
done,actors-artists,artists,allen jones,batch_0001,actors-artists/artists/allen jones,photoroom_processed/actors-artists/artists/allen jones.png,photoroom_original_backups/batch_0001/actors-artists/artists/allen jones,.png
done,actors-artists,artists,andreas gursky,batch_0001,actors-artists/artists/andreas gursky,photoroom_processed/actors-artists/artists/andreas gursky.png,photoroom_original_backups/batch_0001/actors-artists/artists/andreas gursky,.png
done,actors-artists,artists,andy warhol,batch_0001,actors-artists/artists/andy warhol,photoroom_processed/actors-artists/artists/andy warhol.png,photoroom_original_backups/batch_0001/actors-artists/artists/andy warhol,.png
done,actors-artists,artists,antonio canova,batch_0001,actors-artists/artists/antonio canova,photoroom_processed/actors-artists/artists/antonio canova.png,photoroom_original_backups/batch_0001/actors-artists/artists/antonio canova,.png
done,actors-artists,artists,arshile gorky,batch_0001,actors-artists/artists/arshile gorky,photoroom_processed/actors-artists/artists/arshile gorky.png,photoroom_original_backups/batch_0001/actors-artists/artists/arshile gorky,.png
done,actors-artists,artists,auguste rodin,batch_0001,actors-artists/artists/auguste rodin,photoroom_processed/actors-artists/artists/auguste rodin.png,photoroom_original_backups/batch_0001/actors-artists/artists/auguste rodin,.png
done,actors-artists,artists,barbara hepworth,batch_0001,actors-artists/artists/barbara hepworth,photoroom_processed/actors-artists/artists/barbara hepworth.png,photoroom_original_backups/batch_0001/actors-artists/artists/barbara hepworth,.png
done,actors-artists,artists,berthe morisot,batch_0001,actors-artists/artists/berthe morisot,photoroom_processed/actors-artists/artists/berthe morisot.png,photoroom_original_backups/batch_0001/actors-artists/artists/berthe morisot,.png
done,actors-artists,artists,bill viola,batch_0001,actors-artists/artists/bill viola,photoroom_processed/actors-artists/artists/bill viola.png,photoroom_original_backups/batch_0001/actors-artists/artists/bill viola,.png
done,actors-artists,artists,brett whiteley,batch_0001,actors-artists/artists/brett whiteley,photoroom_processed/actors-artists/artists/brett whiteley.png,photoroom_original_backups/batch_0001/actors-artists/artists/brett whiteley,.png
done,actors-artists,artists,bridget riley,batch_0001,actors-artists/artists/bridget riley,photoroom_processed/actors-artists/artists/bridget riley.png,photoroom_original_backups/batch_0001/actors-artists/artists/bridget riley,.png
done,actors-artists,artists,camille pissarro,batch_0001,actors-artists/artists/camille pissarro,photoroom_processed/actors-artists/artists/camille pissarro.png,photoroom_original_backups/batch_0001/actors-artists/artists/camille pissarro,.png
done,actors-artists,artists,caravaggio,batch_0001,actors-artists/artists/caravaggio,photoroom_processed/actors-artists/artists/caravaggio.png,photoroom_original_backups/batch_0001/actors-artists/artists/caravaggio,.png
done,actors-artists,artists,caspar david friedrich,batch_0001,actors-artists/artists/caspar david friedrich,photoroom_processed/actors-artists/artists/caspar david friedrich.png,photoroom_original_backups/batch_0001/actors-artists/artists/caspar david friedrich,.png
done,actors-artists,artists,cindy sherman,batch_0001,actors-artists/artists/cindy sherman,photoroom_processed/actors-artists/artists/cindy sherman.png,photoroom_original_backups/batch_0001/actors-artists/artists/cindy sherman,.png
done,actors-artists,artists,claude monet,batch_0001,actors-artists/artists/claude monet,photoroom_processed/actors-artists/artists/claude monet.png,photoroom_original_backups/batch_0001/actors-artists/artists/claude monet,.png
done,actors-artists,artists,damien hirst,batch_0001,actors-artists/artists/damien hirst,photoroom_processed/actors-artists/artists/damien hirst.png,photoroom_original_backups/batch_0001/actors-artists/artists/damien hirst,.png
done,actors-artists,artists,dan flavin,batch_0001,actors-artists/artists/dan flavin,photoroom_processed/actors-artists/artists/dan flavin.png,photoroom_original_backups/batch_0001/actors-artists/artists/dan flavin,.png
done,actors-artists,artists,daniel richter,batch_0001,actors-artists/artists/daniel richter,photoroom_processed/actors-artists/artists/daniel richter.png,photoroom_original_backups/batch_0001/actors-artists/artists/daniel richter,.png
done,actors-artists,artists,david alfaro siqueiros,batch_0001,actors-artists/artists/david alfaro siqueiros,photoroom_processed/actors-artists/artists/david alfaro siqueiros.png,photoroom_original_backups/batch_0001/actors-artists/artists/david alfaro siqueiros,.png
done,actors-artists,artists,david hockney,batch_0001,actors-artists/artists/david hockney,photoroom_processed/actors-artists/artists/david hockney.png,photoroom_original_backups/batch_0001/actors-artists/artists/david hockney,.png
done,actors-artists,artists,david salle,batch_0001,actors-artists/artists/david salle,photoroom_processed/actors-artists/artists/david salle.png,photoroom_original_backups/batch_0001/actors-artists/artists/david salle,.png
done,actors-artists,artists,edgar degas,batch_0001,actors-artists/artists/edgar degas,photoroom_processed/actors-artists/artists/edgar degas.png,photoroom_original_backups/batch_0001/actors-artists/artists/edgar degas,.png
done,actors-artists,artists,eduardo paolozzi,batch_0001,actors-artists/artists/eduardo paolozzi,photoroom_processed/actors-artists/artists/eduardo paolozzi.png,photoroom_original_backups/batch_0001/actors-artists/artists/eduardo paolozzi,.png
done,actors-artists,artists,edward weston,batch_0001,actors-artists/artists/edward weston,photoroom_processed/actors-artists/artists/edward weston.png,photoroom_original_backups/batch_0001/actors-artists/artists/edward weston,.png
done,actors-artists,artists,etel adnan,batch_0001,actors-artists/artists/etel adnan,photoroom_processed/actors-artists/artists/etel adnan.png,photoroom_original_backups/batch_0001/actors-artists/artists/etel adnan,.png
done,actors-artists,artists,francis bacon,batch_0001,actors-artists/artists/francis bacon,photoroom_processed/actors-artists/artists/francis bacon.png,photoroom_original_backups/batch_0001/actors-artists/artists/francis bacon,.png
done,actors-artists,artists,frank stella,batch_0001,actors-artists/artists/frank stella,photoroom_processed/actors-artists/artists/frank stella.png,photoroom_original_backups/batch_0001/actors-artists/artists/frank stella,.png
done,actors-artists,artists,frida kahlo,batch_0001,actors-artists/artists/frida kahlo,photoroom_processed/actors-artists/artists/frida kahlo.png,photoroom_original_backups/batch_0001/actors-artists/artists/frida kahlo,.png
